product,name,description,flowerydescription,availability,sku,price
baroque-strand,Baroque Strand,"Paspaley 44.5cm choker length strand featuring 28, 13-16mm baroque pearls. Identified by the Paspaley Strand Signature, a brilliant cut diamond set seamlessly in the end pearl.","This unique baroque strand is expertly matched in colour, size, shape and lustre by our skilled graders, featuring the world’s most refined stringing technique. Paspaley’s clasp mechanism enables you to instantly personalise your strand with one of our beautiful, interchangeable claps. 

All Paspaley strands are unique and price is indicative of the strand pictured. 
For more information on other available strands visit a boutique or contact the Personal Shopper

    	
		Paspaley 44.5cm choker length strand featuring 28, 13-16mm baroque pearls. Identified by the Paspaley Strand Signature, a brilliant cut diamond set seamlessly in the end pearl.",Out of stock,SKU    SCPQ1316001,"AUD 54,800.00"
gold-keshi-rhapsody,Gold Keshi Rhapsody,"Paspaley 240cm length Rhapsody strand featuring 275, 6-9mm multi coloured keshi baroque pearls. Identified by the Paspaley Strand Signature, a brilliant cut diamond set seamlessly in the end pearl.","Each Rhapsody strand is one-of-a-kind. These fluid strands feature a myriad of beautiful pearl shapes and sizes. Each can be playfully detached into bracelets and smaller necklaces.

    	
		Paspaley 240cm length Rhapsody strand featuring 275, 6-9mm multi coloured keshi baroque pearls. Identified by the Paspaley Strand Signature, a brilliant cut diamond set seamlessly in the end pearl.",Out of stock,SKU    SUKQ0609005,"AUD 82,800.00"
keshi-rope-strand-of-the-harvest,Keshi Rope Strand of The Harvest,"Paspaley 124cm rope length strand featuring 110, 8-10mm keshi baroque pearls. Identified by the Paspaley Strand Signature, a brilliant cut yellow diamond set seamlessly in the end pearl.","This pearl strand has been expertly matched in colour, size, shape and lustre by our skilled graders and features the world’s most refined stringing technique. A unique interchangeable clasp mechanism enables you to instantly personalise your look. All Paspaley strands are unique and price is indicative of the strand pictured. For more information on other available strands visit a boutique or contact the Personal Shopper.

    	
		Paspaley 124cm rope length strand featuring 110, 8-10mm keshi baroque pearls. Identified by the Paspaley Strand Signature, a brilliant cut yellow diamond set seamlessly in the end pearl.",Out of stock,SKU    SRKQ0810001,"AUD 44,800.00"
pearl-accessories-black-spinel-cascade-white-gold,Black Spinel Cascade - White Gold,"Paspaley 12 strand necklace in 18kt white gold, with black spinels. Length 43cm. Pearl sold separately.","This necklace features 12 black spinel strands, woven together to create this unique black necklace. Wear with your favourite Paspaley pearl clasp.

    	
		Paspaley 12 strand necklace in 18kt white gold, with black spinels. Length 43cm. Pearl sold separately.",In stock,SKU    C00N10W43,"AUD 4,880.00"
pearl-accessories-chalif-cascade-chain-yellow-gold,Chalif Cascade Chain - Yellow Gold,"Paspaley chain with 18kt yellow gold key ends. Length 42cm, width 2.7mm. Pearl sold separately.","This necklace features woven strands of delicate yellow gold. Pair with your favourite Paspaley clasp to create your unique look.

    	
		Paspaley chain with 18kt yellow gold key ends. Length 42cm, width 2.7mm. Pearl sold separately.",In stock,SKU    C00C80Y2742,"AUD 2,780.00"
pearl-accessories-fine-key-end-nitrile-white-gold,Fine Key End Nitrile - White Gold,"Paspaley nitrile cord featuring 18kt white gold key ends, width 3mm. Pearl sold separately.","This nitrile cord is perfectly finished with white gold key ends and can be worn with a single pearl or your favourite clasp.

    	
		Paspaley nitrile cord featuring 18kt white gold key ends, width 3mm. Pearl sold separately.",In stock,SKU    DC00C50W30,AUD 420.00
pearl-accessories-fine-key-end-nitrile-yellow-gold,Fine Key End Nitrile - Yellow Gold,"Paspaley nitrile cord featuring 18kt yellow gold key ends, width 3mm. Pearl sold separately.","This nitrile cord is perfectly finished with yellow gold key ends and can be worn with a single pearl or your favourite clasp.

    	
		Paspaley nitrile cord featuring 18kt yellow gold key ends, width 3mm. Pearl sold separately.",In stock,SKU    DC00C50Y30,AUD 420.00
pearl-accessories-fine-mirror-trace-chain-rose-gold,Fine Mirror Trace Chain - Rose Gold,"Paspaley chain in 18kt rose gold, with 6 white diamonds on clasp (0.03ct), chain width 1.6mm.","This classic rose gold chain features a mirror-like finish and precious diamond clasp.

    	
		Paspaley chain in 18kt rose gold, with 6 white diamonds on clasp (0.03ct), chain width 1.6mm.",In stock,SKU    DC00C00R16,AUD 730.00
pearl-accessories-fine-mirror-trace-chain-white-gold,Fine Mirror Trace Chain - White Gold,"Paspaley chain in 18kt white gold, with 6 white diamonds on clasp (0.03ct), width 1.6mm.","This classic white gold chain features a mirror-like finish and elegant diamond clasp.

    	
		Paspaley chain in 18kt white gold, with 6 white diamonds on clasp (0.03ct), width 1.6mm.",In stock,SKU    DC00C00W16,AUD 690.00
pearl-accessories-fine-mirror-trace-chain-yellow-gold,Fine Mirror Trace Chain - Yellow Gold,"Paspaley chain in 18kt yellow gold, with 6 white diamonds on clasp (0.03ct), width 1.6mm.","This classic yellow gold chain features a mirror-like finish and elegant diamond clasp.

    	
		Paspaley chain in 18kt yellow gold, with 6 white diamonds on clasp (0.03ct), width 1.6mm.",In stock,SKU    DC00C00Y16,AUD 690.00
