product,name,description,flowerydescription,availability,sku,price
dive-chain-ring-men's,Dive Chain Ring - Men's,Paspaley Dive Ring in 18kt Yellow Gold.,"The Men’s Dive Chain ring draws inspiration from the changing colours of the ropes and chains used on our pearling vessels. The two-tone black rhodium and white gold  chain anchor wraps around a yellow gold ring band on this Paspaley ring for men.

    	
		Paspaley Dive Ring in 18kt Yellow Gold.",In stock,SKU    DD21R22Y,"AUD 2,680.00"
dive-chain-ring,Dive Chain Ring,"Paspaley Dive Ring in 18kt Yellow Gold with 1, 9mm Keshi Baroque Paspaley Pearl.","The Dive Chain Ring draws inspiration from the changing colours of the ropes and chains used on our pearling ships. This Paspaley ring can be worn on its own, or stacked in a group of two or three with other Dive Chain rings.

    	
		Paspaley Dive Ring in 18kt Yellow Gold with 1, 9mm Keshi Baroque Paspaley Pearl.",In stock,SKU    DD21R21Y,"AUD 1,280.00"
dive-chain-stack-ring,Dive Chain Stack Ring,"Paspaley Dive Chain Stack Ring in 18kt Yellow Gold with 1, 9mm Keshi Baroque Paspaley Pearl.","The Dive Chain Stack Ring draws inspiration from the changing colours of the ropes and chains used on our pearling ships. Each ring can be worn on its own or stacked in a group of three.

    	
		Paspaley Dive Chain Stack Ring in 18kt Yellow Gold with 1, 9mm Keshi Baroque Paspaley Pearl.",Out of stock,SKU    DD21R20YKQ,"AUD 4,540.00"
dive-charm-bracelet-mermaid-yellow-gold,Dive Charm Bracelet - Mermaid - Yellow Gold,"Paspaley Dive Charm Bracelet in 18kt Yellow Gold with a 10mm Circle Paspaley Pearl, a 12mm Oval Paspaley Pearl, a Dive Charm Accessory (20mm) with Mother-of-Pearl and 84 White Diamonds (0.31ct).","Inspired by the nautical chains used on our pearling vessels, this versatile yellow gold charm bracelet features three lustrous Paspaley pearls and one Paspaley Mermaid mother-of-pearl gold charm.

Mermaid - This strong mermaid design represents women connecting with the wild side of nature and themselves. We depict a mermaid fearlessly embracing a shark.

Barramundi Mandala - A playful and intricate design borrowing elements from our divers’ tattoos and the iconic saltwater barramundi found in the Kimberley. From afar it looks like a flower, but look closely and you will see the fish.

    	
		Paspaley Dive Charm Bracelet in 18kt Yellow Gold with a 10mm Circle Paspaley Pearl, a 12mm Oval Paspaley Pearl, a Dive Charm Accessory (20mm) with Mother-of-Pearl and 84 White Diamonds (0.31ct).",In stock,SKU    DD21B01YPC10,"AUD 12,840.00"
dive-charm-bracelet-paspaley-1935-white-gold,Dive Charm Bracelet - Paspaley 1935 - White Gold,"Paspaley Dive Charm Bracelet in 18kt White Gold with a 10mm Circle Paspaley Pearl, a 12mm Oval Paspaley Pearl, a Dive Charm Accessory (20mm) with Mother-of-Pearl and 16 White Diamonds (0.06ct).","Inspired by the nautical chains used on our pearling vessels, this versatile white gold charm bracelet features three lustrous Paspaley pearls and one Paspaley 1935 mother-of-pearl white gold charm.

Paspaley since 1935 - Paspaley’s version of the nautical star is inspired by Paspaley diver Paddy’s tattoo and is a nod to our proud heritage.

Hard Hat - Catch a glimpse of the magical underwater world of the hard hat diver. This heritage piece holds special meaning for anyone connected to the unique Australian pearling industry.

    	
		Paspaley Dive Charm Bracelet in 18kt White Gold with a 10mm Circle Paspaley Pearl, a 12mm Oval Paspaley Pearl, a Dive Charm Accessory (20mm) with Mother-of-Pearl and 16 White Diamonds (0.06ct).",In stock,SKU    DD21B01WPC10,"AUD 11,340.00"
dive-charm-bracelet-white-gold,Dive Charm Bracelet - White Gold,"Paspaley Dive Charm Bracelet in 18kt White Gold with 1, 10mm Circle Paspaley Pearl and 3 White Diamonds 0.01ct.

Charms sold separately.","Inspired by the nautical chains used on our pearling vessels, this versatile white gold charm bracelet can be worn alone or customised with your favourite charms from our Dive collection. Create your one-of-a-kind design with mother-of-pearl charms and Paspaley pearls.

    	
		Paspaley Dive Charm Bracelet in 18kt White Gold with 1, 10mm Circle Paspaley Pearl and 3 White Diamonds 0.01ct.

Charms sold separately.",In stock,SKU    D21B01WPC10,"AUD 4,880.00"
dive-charm-bracelet-yellow-gold,Dive Charm Bracelet - Yellow Gold,"Paspaley Dive Charm Bracelet in 18kt Yellow Gold with 1, 10mm Circle Paspaley Pearl and 3 White Diamonds 0.01ct. 

Charms sold separately.","Inspired by the nautical chains used on our pearling vessels, this versatile yellow gold charm bracelet can be worn alone or customised with your favourite charms from our Dive collection. Create your one-of-a-kind design with mother-of-pearl charms and Paspaley pearls.

    	
		Paspaley Dive Charm Bracelet in 18kt Yellow Gold with 1, 10mm Circle Paspaley Pearl and 3 White Diamonds 0.01ct. 

Charms sold separately.",In stock,SKU    D21B01YPC10,"AUD 4,880.00"
dive-charm-necklace-white-gold,Dive Charm Necklace - White Gold,"Paspaley Dive Charm Necklace in 18kt White Gold with 1, 13mm Oval Paspaley Pearl and 6 White Diamonds 0.02ct. 

Charms sold separately.","This versatile charm necklace is inspired by the nautical chains used on our pearling vessels. Carabiner clasps can be opened to add your favourite Paspaley charms and customise the necklace length for different occasions. The white gold chain necklace features a 13mm oval Paspaley pearl with a diamond cap.

    	
		Paspaley Dive Charm Necklace in 18kt White Gold with 1, 13mm Oval Paspaley Pearl and 6 White Diamonds 0.02ct. 

Charms sold separately.",In stock,SKU    D21N01WPO13,"AUD 9,880.00"
dive-clasp-yellow-gold,Dive Clasp - Yellow Gold,"Paspaley Dive Clasp in 18kt Yellow Gold with 20 Black Spinels 3.84ct, 72 White Diamonds 0.31ct and Black Silk.","The Dive Clasp features black spinel and black silk rope set in yellow gold, with diamonds. The design was inspired by the ropes and thimbles found on Paspaley pearling ships, with the choice of black representing the neoprene wetsuits of Paspaley pearl divers. This nautical clasp can be worn with any Paspaley strand necklace.

    	
		Paspaley Dive Clasp in 18kt Yellow Gold with 20 Black Spinels 3.84ct, 72 White Diamonds 0.31ct and Black Silk.",In stock,SKU    D21L11Y,"AUD 7,680.00"
dive-coin-charm-diamond-earrings-white-gold,Dive Coin Charm Diamond Earrings - White Gold,Paspaley Dive Earrings in 18kt White Gold with Mother-of-Pearl and 124 White Diamonds (0.51ct).,"The Dive Coin Charm Earrings represent old Dutch guilders discovered by pearl divers in shipwrecks along the Kimberley coastline. Each coin charm features a delicate white gold rope detail, with diamonds on the settings, and mother-of-pearl intricately engraved to reflect pearl divers’ stories and the tattoos historically associated with sea explorers.

    	
		Paspaley Dive Earrings in 18kt White Gold with Mother-of-Pearl and 124 White Diamonds (0.51ct).",In stock,SKU    DD21A01E04W,"AUD 10,260.00"
